date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2018-10-23,Running,False,Longview Running,3.01,313,0:31:36,157,178,166,182,10:31,8:56,105,217,0.92,0,0,0,0,0,0,0,0,0,0,1:7:36,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:10:31,0 days 00:10:31
2018-10-25,Running,False,Longview Running,1.14,121,0:15:03,130,143,161,167,13:12,11:19,49,7,0.76,0,0,0,0,0,0,0,0,0,0,15:03,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:13:12,0 days 00:13:12
2018-10-26,Yoga,False,Yoga,0.0,161,1:09:50,80,121,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1:09:50,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,00:00:00,00:00:00
2018-10-27,Running,False,Cedar Park Running,13.09,"1,512",2:27:00,171,193,159,248,11:14,9:43,594,896,0.9,0,0,0,0,0,0,0,0,0,0,2:27:00,0:00,0,0:00,No,00:00.00,14,0,10,garmin,1,0 days 00:11:14,0 days 00:11:14
2018-10-29,Running,False,Longview Running,1.0,119,0:13:05,144,160,148,175,13:04,10:18,56,36,0.83,0,0,0,0,0,0,0,0,0,0,13:05,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:13:04,0 days 00:13:04
2018-11-03,Running,False,Longview Running,1.0,108,0:11:51,142,154,152,180,11:50,9:49,20,52,0.89,0,0,0,0,0,0,0,0,0,0,11:51,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:11:50,0 days 00:11:50
2018-11-03,Running,False,Longview Running,2.0,208,0:21:42,156,175,162,170,10:50,9:20,184,164,0.91,0,0,0,0,0,0,0,0,0,0,21:42,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:10:50,0 days 00:10:50
2018-11-04,Running,False,Longview Running,2.0,203,0:21:49,148,169,165,174,10:55,9:57,92,118,0.89,0,0,0,0,0,0,0,0,0,0,21:49,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:10:55,0 days 00:10:55
2018-11-04,Running,False,Longview Running,1.0,107,0:11:35,154,173,162,169,11:32,10:39,128,30,0.86,0,0,0,0,0,0,0,0,0,0,11:35,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32
2018-11-05,Running,False,Longview Running,6.0,643,1:08:33,158,182,163,176,11:26,9:45,177,331,0.86,0,0,0,0,0,0,0,0,0,0,1:08:33,0:00,0,0:00,No,00:00.00,6,0,10,garmin,0,0 days 00:11:26,0 days 00:11:26
2018-11-16,Treadmill Running,False,Treadmill Running,1.5,167,0:17:38,147,165,162,167,11:46,9:43,0,0,0.73,0,0,0,0,0,0,0,0,0,0,17:38,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:11:46,0 days 00:11:46
2018-11-17,Running,False,Longview Running,2.0,222,0:23:24,153,172,158,174,11:41,10:25,56,69,0.87,0,0,0,0,0,0,0,0,0,0,23:24,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:11:41,0 days 00:11:41
2018-11-18,Running,False,Longview Running,4.11,441,0:47:10,159,177,160,172,11:28,9:53,125,243,0.88,0,0,0,0,0,0,0,0,0,0,1:23:10,0:00,0,0:00,No,00:00.00,5,0,10,garmin,0,0 days 00:11:28,0 days 00:11:28
2018-11-19,Treadmill Running,False,Treadmill Running,3.8,337,0:49:01,132,163,138,178,12:54,7:59,0,0,0.7,0,0,0,0,0,0,0,0,0,0,2:1:01,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:12:54,0 days 00:12:54
2018-11-22,Running,False,Atlanta Running,13.43,"1,452",2:39:13,164,185,149,245,11:51,7:59,643,955,0.92,0,0,0,0,0,0,0,0,0,0,2:39:13,0:00,0,0:00,No,00:00.00,14,0,10,garmin,1,0 days 00:11:51,0 days 00:11:51
