,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,2,2019-06-05,Running,False,Longview Running,2.16,239,0:24:50,155,173,164,190,11:29,9:43,92,98,0.85,0,0,0,0,0,0,0,0,0,0,1:0:50:00.000,0:00,0,0:00,No,01:59.47,3,0,10,garmin,0,0 days 00:11:29,0 days 00:11:29,42.59259259259259,0.8857142857142857,7.663280116110305,5.2249637155297535,7.663529448068134,8.65237195749628
1,3,2019-06-10,Running,False,Longview Running,3.01,276,0:39:52,124,151,125,245,13:14,7:30,194,243,0.98,0,0,0,0,0,0,0,0,0,0,1:15:52,0:00,0,0:00,No,00:12.14,4,0,10,garmin,0,0 days 00:13:14,0 days 00:13:14,64.45182724252493,0.7085714285714285,6.649874055415617,4.534005037783375,6.650369471235817,9.385602076340872
2,4,2019-06-11,Running,False,Longview Running,1.49,140,0:20:52,127,150,114,245,13:57,6:59,56,36,1.01,0,0,0,0,0,0,0,0,0,0,20:52,0:00,0,0:00,No,07:43.53,2,0,10,garmin,0,0 days 00:13:57,0 days 00:13:57,37.58389261744966,0.7257142857142858,6.308243727598566,4.301075268817205,6.308403539323782,8.69268204237529
3,5,2019-06-13,Running,False,Longview Running,2.0,217,0:22:13,152,177,165,189,11:06,9:25,52,43,0.88,0,0,0,0,0,0,0,0,0,0,22:13,0:00,0,0:00,No,00:02.05,3,0,10,garmin,0,0 days 00:11:06,0 days 00:11:06,26.0,0.8685714285714285,7.927927927927927,5.405405405405405,7.928024046191378,9.127659263707178
4,14,2019-07-01,Running,False,Longview Running,3.03,343,0:39:13,144,171,133,192,12:55,9:20,896,988,0.95,0,0,0,0,0,0,0,0,0,0,1:15:13,0:00,0,0:00,No,00:39.74,4,0,10,garmin,0,0 days 00:12:55,0 days 00:12:55,295.7095709570957,0.8228571428571428,6.812903225806451,4.645161290322581,6.823579629491354,8.292544688617966
5,15,2019-07-02,Running,False,Longview Running,3.0,356,0:35:50,161,181,150,240,11:56,10:05,433,436,0.9,0,0,0,0,0,0,0,0,0,0,1:11:50,0:00,0,0:00,No,00:02.22,4,0,10,garmin,0,0 days 00:11:56,0 days 00:11:56,144.33333333333334,0.92,7.374301675977653,5.027932960893855,7.377056381844376,8.018539545483018
6,16,2019-07-04,Running,False,Tyler Running,3.07,353,0:39:10,148,167,134,241,12:46,9:33,614,627,0.98,0,0,0,0,0,0,0,0,0,0,1:15:10,0:00,0,0:00,No,03:56.19,4,0,10,garmin,0,0 days 00:12:46,0 days 00:12:46,200.0,0.8457142857142858,6.8929503916449075,4.699738903394255,6.897893630609913,8.15629314430226
7,18,2019-07-08,Running,False,Longview Running,2.31,266,0:28:38,158,174,152,176,12:25,11:01,128,121,0.86,0,0,0,0,0,0,0,0,0,0,1:4:38,0:00,0,0:00,No,04:34.19,3,0,10,garmin,0,0 days 00:12:25,0 days 00:12:25,55.41125541125541,0.9028571428571428,7.0872483221476505,4.832214765100671,7.08763859094602,7.850232616554137
8,20,2019-07-13,Running,False,Longview Running,1.05,116,0:12:27,155,172,161,170,11:53,10:14,20,26,0.84,0,0,0,0,0,0,0,0,0,0,12:27,0:00,0,0:00,No,00:33.61,2,0,10,garmin,0,0 days 00:11:53,0 days 00:11:53,19.047619047619047,0.8857142857142857,7.405329593267882,5.049088359046284,7.405377779895418,8.360910396656118
9,21,2019-07-14,Running,False,Longview Running,2.0,217,0:23:52,151,176,162,186,11:55,9:41,36,23,0.83,0,0,0,0,0,0,0,0,0,0,23:52,0:00,0,0:00,No,00:01.31,3,0,10,garmin,0,0 days 00:11:55,0 days 00:11:55,18.0,0.8628571428571429,7.384615384615384,5.034965034965035,7.384658296124528,8.558378820011871
10,27,2019-07-22,Running,False,Longview Running,2.0,223,0:25:28,153,174,152,226,12:44,10:46,89,138,0.83,0,0,0,0,0,0,0,0,0,0,1:1:28,0:00,0,0:00,No,12:09.74,2,0,10,garmin,0,0 days 00:12:44,0 days 00:12:44,44.5,0.8742857142857143,6.9109947643979055,4.712041884816754,6.9112402098747765,7.905013311948274
11,29,2019-07-25,Running,False,Longview Running,1.09,109,0:11:51,144,170,167,182,10:52,8:43,30,30,0.89,0,0,0,0,0,0,0,0,0,0,11:51,0:00,0,0:00,No,01:09.21,2,0,10,garmin,0,0 days 00:10:52,0 days 00:10:52,27.52293577981651,0.8228571428571428,8.098159509202453,5.521472392638037,8.098269530066029,9.841646998344132
12,30,2019-07-26,Running,False,Longview Running,1.0,101,0:10:48,140,156,168,188,10:46,9:11,36,23,0.89,0,0,0,0,0,0,0,0,0,0,10:48,0:00,0,0:00,No,00:01.76,2,0,10,garmin,0,0 days 00:10:46,0 days 00:10:46,36.0,0.8,8.173374613003094,5.572755417956656,8.173564591093552,10.21695573886694
13,31,2019-07-28,Running,False,Sonoma Running,3.01,354,0:37:25,168,182,153,169,12:26,10:25,20,26,0.85,0,0,0,0,0,0,0,0,0,0,1:13:25,0:00,0,0:00,No,00:03.36,4,0,10,garmin,0,0 days 00:12:26,0 days 00:12:26,6.64451827242525,0.96,7.077747989276139,4.825737265415549,7.077753593611075,7.372659993344871
14,33,2019-08-01,Running,False,Longview Running,3.0,339,0:35:36,163,185,161,182,11:51,9:57,82,66,0.84,0,0,0,0,0,0,0,0,0,0,1:11:36,0:00,0,0:00,No,00:02.50,4,0,10,garmin,0,0 days 00:11:51,0 days 00:11:51,27.333333333333332,0.9314285714285714,7.4261603375527425,5.063291139240507,7.426259843437772,7.972978359519081
15,34,2019-08-03,Running,False,Montgomery County Running,3.0,350,0:40:02,155,177,143,230,13:20,9:22,315,348,0.85,0,0,0,0,0,0,0,0,0,0,1:16:02,0:00,0,0:00,No,00:01.64,4,0,10,garmin,0,0 days 00:13:20,0 days 00:13:20,105.0,0.8857142857142857,6.6,4.5,6.601304913613671,7.453086192789629
16,36,2019-08-05,Running,False,Longview Running,3.0,328,0:37:08,162,180,161,180,12:22,11:11,72,75,0.81,0,0,0,0,0,0,0,0,0,0,1:13:08,0:00,0,0:00,No,00:01.72,4,0,10,garmin,0,0 days 00:12:22,0 days 00:12:22,24.0,0.9257142857142857,7.115902964959568,4.8517520215633425,7.115976475974132,7.687011625280698
17,38,2019-08-08,Running,False,Longview Running,3.02,327,0:37:31,154,179,162,172,12:25,9:29,82,75,0.8,0,0,0,0,0,0,0,0,0,0,1:13:31,0:00,0,0:00,No,00:14.66,4,0,10,garmin,0,0 days 00:12:25,0 days 00:12:25,27.1523178807947,0.88,7.0872483221476505,4.832214765100671,7.087342033187437,8.053797764985724
18,46,2019-08-18,Running,False,Longview Running,7.01,737,1:50:39,135,176,123,216,15:47,10:56,1716,"1,716",0.84,0,0,0,0,0,0,0,0,0,0,1:50:39,0:00,0,0:00,No,00:08.96,8,0,10,garmin,0,0 days 00:15:47,0 days 00:15:47,244.79315263908703,0.7714285714285715,5.575501583949314,3.801478352692714,5.58149054441757,7.235265520541295
19,51,2019-08-27,Running,False,Longview Running,3.0,333,0:33:13,163,180,164,180,11:04,9:51,89,69,0.89,0,0,0,0,0,0,0,0,0,0,1:9:13,0:00,0,0:00,No,00:02.17,4,0,10,garmin,0,0 days 00:11:04,0 days 00:11:04,29.666666666666668,0.9314285714285714,7.951807228915662,5.421686746987952,7.951932745779285,8.537351107431748
20,54,2019-09-01,Running,False,Yamhill County Running,13.14,"1,507",2:37:08,166,214,157,248,11:57,10:03,4429,"4,514",0.86,0,0,0,0,0,0,0,0,0,0,2:37:08,0:00,0,0:00,No,01:37.70,14,0,10,garmin,1,0 days 00:11:57,0 days 00:11:57,337.06240487062405,0.9485714285714286,7.364016736401674,5.020920502092051,7.379006533965105,7.7790731532764665
