,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,2,2018-12-12,Running,False,Longview Running,1.5,157,0:15:53,156,183,167,180,10:35,8:59,59,66,0.91,0,0,0,0,0,0,0,0,0,0,15:53,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:10:35,0 days 00:10:35,39.333333333333336,0.8914285714285715,8.31496062992126,5.669291338582677,8.31519134598656,9.32793900992082
1,7,2018-12-16,Running,False,Longview Running,4.0,444,0:44:06,161,179,165,180,11:01,9:15,135,266,0.89,0,0,0,0,0,0,0,0,0,0,1:20:06,0:00,0,0:00,No,00:00.00,5,0,10,garmin,0,0 days 00:11:01,0 days 00:11:01,33.75,0.92,7.987897125567321,5.446293494704992,7.988060309629752,8.682674249597556
2,10,2018-12-21,Running,False,Longview Running,3.0,312,0:33:03,150,171,166,184,11:00,9:04,115,118,0.88,0,0,0,0,0,0,0,0,0,0,1:9:03:00.000,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:11:00,0 days 00:11:00,38.333333333333336,0.8571428571428571,7.999999999999999,5.454545454545454,8.000210833488532,9.333579305736622
3,12,2018-12-24,Running,False,Longview Running,2.0,225,0:23:52,151,166,157,174,11:55,9:51,249,46,0.86,0,0,0,0,0,0,0,0,0,0,23:52,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:11:55,0 days 00:11:55,124.5,0.8628571428571429,7.384615384615384,5.034965034965035,7.386668003825426,8.560707951453308
4,14,2018-12-27,Running,False,Longview Running,6.0,639,1:11:03,152,189,163,178,11:50,9:55,177,190,0.84,0,0,0,0,0,0,0,0,0,0,1:11:03,0:00,0,0:00,No,00:00.00,7,0,10,garmin,0,0 days 00:11:50,0 days 00:11:50,29.5,0.8685714285714285,7.436619718309858,5.070422535211267,7.436735787879947,8.562031334730202
5,15,2018-12-28,Running,False,Longview Running,2.0,206,0:19:58,157,183,168,180,9:58,8:38,72,66,0.96,0,0,0,0,0,0,0,0,0,0,19:58,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:09:58,0 days 00:09:58,36.0,0.8971428571428571,8.82943143812709,6.020066889632107,8.829636665295043,9.841951696984921
6,16,2018-12-31,Running,False,Longview Running,3.0,322,0:32:38,155,174,165,174,10:52,9:55,79,85,0.9,0,0,0,0,0,0,0,0,0,0,1:8:38,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:10:52,0 days 00:10:52,26.333333333333332,0.8857142857142857,8.098159509202453,5.521472392638037,8.098260224968095,9.143197028189785
7,18,2019-01-03,Running,False,Longview Running,2.0,212,0:22:52,145,162,163,171,11:24,10:05,46,52,0.86,0,0,0,0,0,0,0,0,0,0,22:52,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:11:24,0 days 00:11:24,23.0,0.8285714285714286,7.719298245614034,5.263157894736842,7.719371483127677,9.316482824464437
8,20,2019-01-06,Running,False,Longview Running,7.0,865,1:22:48,171,192,152,248,11:50,9:16,194,213,0.9,0,0,0,0,0,0,0,0,0,0,1:22:48,0:00,0,0:00,No,00:00.00,8,0,10,garmin,0,0 days 00:11:50,0 days 00:11:50,27.714285714285715,0.9771428571428571,7.436619718309858,5.070422535211267,7.436722161270585,7.610680574399722
9,27,2019-01-17,Running,False,Longview Running,3.01,310,0:31:57,150,168,164,176,10:38,9:20,98,102,0.92,0,0,0,0,0,0,0,0,0,0,1:7:57,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:10:38,0 days 00:10:38,32.55813953488372,0.8571428571428571,8.275862068965516,5.6426332288401255,8.27601940580971,9.655355973444662
10,29,2019-01-20,Running,False,Longview Running,3.1,351,0:35:33,162,182,163,171,11:28,9:49,105,98,0.86,0,0,0,0,0,0,0,0,0,0,1:11:33,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:11:28,0 days 00:11:28,33.87096774193548,0.9257142857142857,7.674418604651161,5.232558139534883,7.674576510561641,8.290437588569674
11,31,2019-01-23,Running,False,Longview Running,9.01,"1,011",1:44:06,164,184,166,184,11:34,9:33,295,712,0.84,0,0,0,0,0,0,0,0,0,0,1:44:06,0:00,0,0:00,No,00:00.00,10,0,10,garmin,0,0 days 00:11:34,0 days 00:11:34,32.74139844617092,0.9371428571428572,7.60806916426513,5.187319884726225,7.608215438180495,8.118522571229187
12,34,2019-01-28,Running,False,Longview Running,2.0,192,0:19:28,152,183,169,183,9:44,8:13,79,72,0.98,0,0,0,0,0,0,0,0,0,0,19:28,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:09:44,0 days 00:09:44,39.5,0.8685714285714285,9.04109589041096,6.164383561643836,9.041348885068082,10.409447729519174
