,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2018-09-26,Running,False,Dallas Running,2.1,250,0:26:19,157,181,138,174,12:33,8:17,39,56,0.94,0,0,0,0,0,0,0,0,0,0,1:2:19,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:12:33,0 days 00:12:33,18.57142857142857,0.8971428571428571,7.011952191235058,4.780876494023904,7.011995565326126,7.81591862377116
1,3,2018-10-01,Running,False,Longview Running,3.0,323,0:32:41,157,176,163,176,10:54,9:31,82,79,0.9,0,0,0,0,0,0,0,0,0,0,1:8:41,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:10:54,0 days 00:10:54,27.333333333333332,0.8971428571428571,8.073394495412844,5.504587155963303,8.073502673829138,8.999127184204452
2,4,2018-10-03,Running,False,Longview Running,3.0,322,0:35:49,156,180,160,167,11:57,10:32,59,164,0.84,0,0,0,0,0,0,0,0,0,0,1:11:49,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:11:57,0 days 00:11:57,19.666666666666668,0.8914285714285715,7.364016736401674,5.020920502092051,7.364067819465084,8.260973515425574
3,5,2018-10-05,Running,False,Longview Running,8.01,867,1:42:56,159,186,141,242,12:51,9:33,210,377,0.9,0,0,0,0,0,0,0,0,0,0,1:42:56,0:00,0,0:00,No,00:00.00,9,0,10,garmin,0,0 days 00:12:51,0 days 00:12:51,26.217228464419478,0.9085714285714286,6.848249027237354,4.669260700389105,6.848333448644001,7.537473921463524
4,7,2018-10-08,Running,False,Longview Running,3.0,298,0:35:06,141,164,158,172,11:42,9:47,43,220,0.87,0,0,0,0,0,0,0,0,0,0,1:11:06:00.000,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:11:42,0 days 00:11:42,14.333333333333334,0.8057142857142857,7.521367521367521,5.128205128205129,7.521395234943714,9.335065007908865
5,10,2018-10-14,Running,False,Longview Running,2.0,191,0:21:22,149,164,166,178,10:42,8:46,302,240,0.91,0,0,0,0,0,0,0,0,0,0,21:22,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:10:42,0 days 00:10:42,151.0,0.8514285714285714,8.224299065420562,5.607476635514019,8.227661595485085,9.663360934294563
6,14,2018-10-16,Running,False,Longview Running,1.0,98,0:12:13,126,148,162,176,12:15,10:23,108,0,0.81,0,0,0,0,0,0,0,0,0,0,12:13,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:12:15,0 days 00:12:15,108.0,0.72,7.183673469387755,4.8979591836734695,7.185176095165235,9.97941124328505
7,16,2018-10-17,Running,False,Longview Running,1.5,148,0:16:57,138,159,166,178,11:16,8:51,89,105,0.86,0,0,0,0,0,0,0,0,0,0,16:57,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:11:16,0 days 00:11:16,59.333333333333336,0.7885714285714286,7.8106508875739635,5.325443786982248,7.8111440309127165,9.905436271084966
8,18,2018-10-21,Running,False,Longview Running,3.0,327,0:33:47,157,179,165,172,11:15,9:43,95,223,0.87,0,0,0,0,0,0,0,0,0,0,1:9:47,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:11:15,0 days 00:11:15,31.666666666666668,0.8971428571428571,7.822222222222221,5.333333333333333,7.822362902463597,8.719194318032672
9,20,2018-10-23,Running,False,Longview Running,3.01,313,0:31:36,157,178,166,182,10:31,8:56,105,217,0.92,0,0,0,0,0,0,0,0,0,0,1:7:36,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:10:31,0 days 00:10:31,34.88372093023256,0.8971428571428571,8.36767036450079,5.7052297939778125,8.367852984186248,9.32722466390187
10,21,2018-10-25,Running,False,Longview Running,1.14,121,0:15:03,130,143,161,167,13:12,11:19,49,7,0.76,0,0,0,0,0,0,0,0,0,0,15:03,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:13:12,0 days 00:13:12,42.982456140350884,0.7428571428571429,6.666666666666667,4.545454545454546,6.666887561807555,8.974656333202478
11,23,2018-10-27,Running,False,Cedar Park Running,13.09,"1,512",2:27:00,171,193,159,248,11:14,9:43,594,896,0.9,0,0,0,0,0,0,0,0,0,0,2:27:00,0:00,0,0:00,No,00:00.00,14,0,10,garmin,1,0 days 00:11:14,0 days 00:11:14,45.378151260504204,0.9771428571428571,7.833827893175075,5.3412462908011875,7.834117202054262,8.017371405611087
