,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,1,2019-11-10,Running,False,Longview Running,3.0,333,0:32:00,164,181,170,186,10:39,9:11,112,108,0.89,0,0,0,0,0,0,0,0,0,0,1:8,0:00,0,0:00,No,00:01.34,4,0,10,garmin,0,0 days 00:10:39,0 days 00:10:39,37.333333333333336,0.9371428571428572,8.262910798122064,5.633802816901408,8.263117347233747,8.817350827840889
1,2,2019-11-12,Running,False,Longview Running,3.0,332,0:33:57,155,175,166,177,11:18,10:12,312,322,0.86,0,0,0,0,0,0,0,0,0,0,1:9:57,0:00,0,0:00,No,00:03.19,4,0,10,garmin,0,0 days 00:11:18,0 days 00:11:18,104.0,0.8857142857142857,7.787610619469025,5.309734513274336,7.789121155014037,8.79416904598359
2,3,2019-11-14,Running,False,Longview Running,4.01,437,0:45:07,155,179,167,188,11:16,9:01,197,210,0.86,0,0,0,0,0,0,0,0,0,0,1:21:07,0:00,0,0:00,No,00:05.07,5,0,10,garmin,0,0 days 00:11:16,0 days 00:11:16,49.12718204488778,0.8857142857142857,7.8106508875739635,5.325443786982248,7.810988970854509,8.818858515480898
3,4,2019-11-18,Running,False,Longview Running,4.0,433,0:42:45,160,182,167,186,10:41,8:35,141,535,0.9,0,0,0,0,0,0,0,0,0,0,1:18:45,0:00,0,0:00,No,00:02.69,5,0,10,garmin,0,0 days 00:10:41,0 days 00:10:41,35.25,0.9142857142857143,8.237129485179405,5.616224648985959,8.237313050846039,9.009561149362856
4,7,2019-11-23,Running,False,Longview Running,4.0,481,0:50:28,159,193,148,248,12:36,10:12,535,594,0.87,0,0,0,0,0,0,0,0,0,0,2:2:28,0:00,0,0:00,No,00:02.70,5,0,10,garmin,0,0 days 00:12:36,0 days 00:12:36,133.75,0.9085714285714286,6.984126984126983,4.761904761904762,6.986367418436449,7.689398102052695
5,8,2019-11-24,Running,False,Longview Running,3.0,332,0:32:15,157,179,167,176,10:44,9:20,95,98,0.89,0,0,0,0,0,0,0,0,0,0,1:8:15,0:00,0,0:00,No,00:01.72,4,0,10,garmin,0,0 days 00:10:44,0 days 00:10:44,31.666666666666668,0.8971428571428571,8.198757763975156,5.590062111801243,8.198905216091505,9.138907088000085
6,9,2019-11-26,Running,False,Longview Running,3.03,347,0:35:01,163,180,164,178,11:32,10:20,108,98,0.85,0,0,0,0,0,0,0,0,0,0,1:11:01,0:00,0,0:00,No,00:22.67,4,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32,35.64356435643565,0.9314285714285714,7.630057803468208,5.202312138728324,7.630231658511518,8.191966504536907
7,10,2019-11-28,Running,False,Longview Running,4.0,454,0:46:10,162,179,166,174,11:32,9:57,125,131,0.84,0,0,0,0,0,0,0,0,0,0,1:22:10,0:00,0,0:00,No,00:02.36,5,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32,31.25,0.9257142857142857,7.630057803468208,5.202312138728324,7.63019144031738,8.242490753429268
8,11,2019-12-01,Running,False,Longview Running,4.0,457,0:59:59,145,170,115,245,14:59,10:07,351,272,0.93,0,0,0,0,0,0,0,0,0,0,2:11:59,0:00,0,0:00,No,00:02.13,5,0,10,garmin,0,0 days 00:14:59,0 days 00:14:59,87.75,0.8285714285714286,5.873192436040045,4.004449388209122,5.874003473017238,7.089314536400114
9,12,2019-12-01,Running,False,Longview Running,6.0,692,1:08:04,168,184,163,176,11:20,8:59,240,190,0.87,0,0,0,0,0,0,0,0,0,0,1:08:04,0:00,0,0:00,No,00:01.23,7,0,10,garmin,0,0 days 00:11:20,0 days 00:11:20,40.0,0.96,7.76470588235294,5.294117647058823,7.764928695555344,8.088467391203483
