date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2019-11-08,Treadmill Running,False,Treadmill Running,3.1,335,0:30:50,167,185,170,182,9:57,8:52,0,0,0.87,0,0,0,0,0,0,0,0,0,0,1:6:50:00.000,0:00,0,0:00,No,00:58.85,4,0,10,garmin,0,0 days 00:09:57,0 days 00:09:57
2019-11-10,Running,False,Longview Running,3.0,333,0:32:00,164,181,170,186,10:39,9:11,112,108,0.89,0,0,0,0,0,0,0,0,0,0,1:8,0:00,0,0:00,No,00:01.34,4,0,10,garmin,0,0 days 00:10:39,0 days 00:10:39
2019-11-12,Running,False,Longview Running,3.0,332,0:33:57,155,175,166,177,11:18,10:12,312,322,0.86,0,0,0,0,0,0,0,0,0,0,1:9:57,0:00,0,0:00,No,00:03.19,4,0,10,garmin,0,0 days 00:11:18,0 days 00:11:18
2019-11-14,Running,False,Longview Running,4.01,437,0:45:07,155,179,167,188,11:16,9:01,197,210,0.86,0,0,0,0,0,0,0,0,0,0,1:21:07,0:00,0,0:00,No,00:05.07,5,0,10,garmin,0,0 days 00:11:16,0 days 00:11:16
2019-11-18,Running,False,Longview Running,4.0,433,0:42:45,160,182,167,186,10:41,8:35,141,535,0.9,0,0,0,0,0,0,0,0,0,0,1:18:45,0:00,0,0:00,No,00:02.69,5,0,10,garmin,0,0 days 00:10:41,0 days 00:10:41
2019-11-21,Treadmill Running,False,Treadmill Running,4.0,493,0:43:59,168,188,165,174,11:00,9:09,0,0,0.99,0,0,0,0,0,0,0,0,0,0,1:19:59,0:00,0,0:00,No,04:19.18,5,0,10,garmin,0,0 days 00:11:00,0 days 00:11:00
2019-11-23,Treadmill Running,False,Treadmill Running,5.0,630,0:58:06,166,181,164,170,11:37,10:20,0,0,0.89,0,0,0,0,0,0,0,0,0,0,2:10:06,0:00,0,0:00,No,00:01.04,6,0,10,garmin,0,0 days 00:11:37,0 days 00:11:37
2019-11-23,Running,False,Longview Running,4.0,481,0:50:28,159,193,148,248,12:36,10:12,535,594,0.87,0,0,0,0,0,0,0,0,0,0,2:2:28,0:00,0,0:00,No,00:02.70,5,0,10,garmin,0,0 days 00:12:36,0 days 00:12:36
2019-11-24,Running,False,Longview Running,3.0,332,0:32:15,157,179,167,176,10:44,9:20,95,98,0.89,0,0,0,0,0,0,0,0,0,0,1:8:15,0:00,0,0:00,No,00:01.72,4,0,10,garmin,0,0 days 00:10:44,0 days 00:10:44
2019-11-26,Running,False,Longview Running,3.03,347,0:35:01,163,180,164,178,11:32,10:20,108,98,0.85,0,0,0,0,0,0,0,0,0,0,1:11:01,0:00,0,0:00,No,00:22.67,4,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32
2019-11-28,Running,False,Longview Running,4.0,454,0:46:10,162,179,166,174,11:32,9:57,125,131,0.84,0,0,0,0,0,0,0,0,0,0,1:22:10,0:00,0,0:00,No,00:02.36,5,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32
2019-12-01,Running,False,Longview Running,4.0,457,0:59:59,145,170,115,245,14:59,10:07,351,272,0.93,0,0,0,0,0,0,0,0,0,0,2:11:59,0:00,0,0:00,No,00:02.13,5,0,10,garmin,0,0 days 00:14:59,0 days 00:14:59
2019-12-01,Running,False,Longview Running,6.0,692,1:08:04,168,184,163,176,11:20,8:59,240,190,0.87,0,0,0,0,0,0,0,0,0,0,1:08:04,0:00,0,0:00,No,00:01.23,7,0,10,garmin,0,0 days 00:11:20,0 days 00:11:20
2019-12-02,Running,False,Longview Running,5.0,553,0:54:20,161,181,167,180,10:52,8:56,200,197,0.89,0,0,0,0,0,0,0,0,0,0,2:6:20,0:00,0,0:00,No,00:01.94,6,0,10,garmin,0,0 days 00:10:52,0 days 00:10:52
2019-12-06,Running,False,Longview Running,3.0,322,0:31:11,164,180,166,176,10:23,9:04,102,236,0.94,0,0,0,0,0,0,0,0,0,0,1:7:11,0:00,0,0:00,No,00:02.48,4,0,10,garmin,0,0 days 00:10:23,0 days 00:10:23
2019-12-07,Running,False,Longview Running,7.03,775,1:18:59,163,178,167,174,11:14,9:27,551,951,0.86,0,0,0,0,0,0,0,0,0,0,1:18:59,0:00,0,0:00,No,00:17.99,8,0,10,garmin,0,0 days 00:11:14,0 days 00:11:14
2019-12-10,Running,False,Treadmill,5.0,592,0:54:17,0,0,0,0,10:51,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2:6:17,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:10:51,0 days 00:10:51
2019-12-12,Running,False,Longview Running,2.0,203,0:19:25,161,182,170,186,9:42,8:16,82,210,0.98,0,0,0,0,0,0,0,0,0,0,19:25,0:00,0,0:00,No,00:00.99,3,0,10,garmin,0,0 days 00:09:42,0 days 00:09:42
2019-12-13,Indoor Running,False,Indoor Running,2.0,209,0:20:21,160,169,163,173,10:09,9:41,0,0,0.97,0,0,0,0,0,0,0,0,0,0,20:21,0:00,0,0:00,No,00:01.71,3,0,10,garmin,0,0 days 00:10:09,0 days 00:10:09
