date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2019-09-13,Treadmill Running,False,Treadmill Running,9.0,957,1:51:07,157,185,155,178,12:21,7:29,0,0,0.86,0,0,0,0,0,0,0,0,0,0,1:51:07,0:00,0,0:00,No,02:22.03,10,0,10,garmin,0,0 days 00:12:21,0 days 00:12:21
2019-09-16,Treadmill Running,False,Treadmill Running,4.5,501,0:51:14,159,177,166,172,11:23,8:47,0,0,0.86,0,0,0,0,0,0,0,0,0,0,2:3:14:00.000,0:00,0,0:00,No,00:22.91,6,0,10,garmin,0,0 days 00:11:23,0 days 00:11:23
2019-09-17,Treadmill Running,False,Treadmill Running,4.0,434,0:43:51,160,177,166,176,10:58,6:29,0,0,0.86,0,0,0,0,0,0,0,0,0,0,1:19:51,0:00,0,0:00,No,00:01.07,5,0,10,garmin,0,0 days 00:10:58,0 days 00:10:58
2019-09-18,Running,False,Longview Running,4.0,460,0:47:13,163,181,148,248,11:48,7:45,925,"1,040",0.92,0,0,0,0,0,0,0,0,0,0,1:23:13,0:00,0,0:00,No,00:01.39,5,0,10,garmin,0,0 days 00:11:48,0 days 00:11:48
2019-09-19,Running,False,Longview Running,3.01,306,0:33:57,150,177,164,170,11:18,9:41,190,197,0.87,0,0,0,0,0,0,0,0,0,0,1:9:57,0:00,0,0:00,No,00:03.49,4,0,10,garmin,0,0 days 00:11:18,0 days 00:11:18
2019-09-22,Treadmill Running,False,Treadmill Running,3.5,392,0:39:43,159,173,164,172,11:21,8:43,0,0,0.89,0,0,0,0,0,0,0,0,0,0,1:15:43,0:00,0,0:00,No,06:38.17,4,0,10,garmin,0,0 days 00:11:21,0 days 00:11:21
2019-09-22,Indoor Running,False,Indoor Running,2.7,282,0:28:11,160,179,165,174,10:26,10:46,0,0,0.83,0,0,0,0,0,0,0,0,0,0,1:4:11,0:00,0,0:00,No,04:41.82,3,0,10,garmin,0,0 days 00:10:26,0 days 00:10:26
2019-09-23,Running,False,Longview Running,4.51,493,1:01:21,149,175,128,170,13:37,9:47,522,564,0.94,0,0,0,0,0,0,0,0,0,0,1:01:21,0:00,0,0:00,No,09:32.88,5,0,10,garmin,0,0 days 00:13:37,0 days 00:13:37
2019-09-24,Treadmill Running,False,Treadmill Running,1.25,133,0:14:58,143,164,163,172,11:58,8:47,0,0,0.76,0,0,0,0,0,0,0,0,0,0,14:58,0:00,0,0:00,No,03:16.89,2,0,10,garmin,0,0 days 00:11:58,0 days 00:11:58
2019-09-24,Running,False,Longview Running,2.01,219,0:22:43,157,185,163,172,11:19,9:49,43,30,0.87,0,0,0,0,0,0,0,0,0,0,22:43,0:00,0,0:00,No,00:03.69,3,0,10,garmin,0,0 days 00:11:19,0 days 00:11:19
