,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2019-11-14,Running,False,Longview Running,4.01,437,0:45:07,155,179,167,188,11:16,9:01,197,210,0.86,0,0,0,0,0,0,0,0,0,0,1:21:07,0:00,0,0:00,No,00:05.07,5,0,10,garmin,0,0 days 00:11:16,0 days 00:11:16,49.12718204488778,0.8857142857142857,7.8106508875739635,5.325443786982248,7.810988970854509,8.818858515480898
1,1,2019-11-18,Running,False,Longview Running,4.0,433,0:42:45,160,182,167,186,10:41,8:35,141,535,0.9,0,0,0,0,0,0,0,0,0,0,1:18:45,0:00,0,0:00,No,00:02.69,5,0,10,garmin,0,0 days 00:10:41,0 days 00:10:41,35.25,0.9142857142857143,8.237129485179405,5.616224648985959,8.237313050846039,9.009561149362856
2,4,2019-11-23,Running,False,Longview Running,4.0,481,0:50:28,159,193,148,248,12:36,10:12,535,594,0.87,0,0,0,0,0,0,0,0,0,0,2:2:28,0:00,0,0:00,No,00:02.70,5,0,10,garmin,0,0 days 00:12:36,0 days 00:12:36,133.75,0.9085714285714286,6.984126984126983,4.761904761904762,6.986367418436449,7.689398102052695
3,5,2019-11-24,Running,False,Longview Running,3.0,332,0:32:15,157,179,167,176,10:44,9:20,95,98,0.89,0,0,0,0,0,0,0,0,0,0,1:8:15,0:00,0,0:00,No,00:01.72,4,0,10,garmin,0,0 days 00:10:44,0 days 00:10:44,31.666666666666668,0.8971428571428571,8.198757763975156,5.590062111801243,8.198905216091505,9.138907088000085
4,6,2019-11-26,Running,False,Longview Running,3.03,347,0:35:01,163,180,164,178,11:32,10:20,108,98,0.85,0,0,0,0,0,0,0,0,0,0,1:11:01,0:00,0,0:00,No,00:22.67,4,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32,35.64356435643565,0.9314285714285714,7.630057803468208,5.202312138728324,7.630231658511518,8.191966504536907
5,7,2019-11-28,Running,False,Longview Running,4.0,454,0:46:10,162,179,166,174,11:32,9:57,125,131,0.84,0,0,0,0,0,0,0,0,0,0,1:22:10,0:00,0,0:00,No,00:02.36,5,0,10,garmin,0,0 days 00:11:32,0 days 00:11:32,31.25,0.9257142857142857,7.630057803468208,5.202312138728324,7.63019144031738,8.242490753429268
6,8,2019-12-01,Running,False,Longview Running,6.0,692,1:08:04,168,184,163,176,11:20,8:59,240,190,0.87,0,0,0,0,0,0,0,0,0,0,1:08:04,0:00,0,0:00,No,00:01.23,7,0,10,garmin,0,0 days 00:11:20,0 days 00:11:20,40.0,0.96,7.76470588235294,5.294117647058823,7.764928695555344,8.088467391203483
7,9,2019-12-01,Running,False,Longview Running,4.0,457,0:59:59,145,170,115,245,14:59,10:07,351,272,0.93,0,0,0,0,0,0,0,0,0,0,2:11:59,0:00,0,0:00,No,00:02.13,5,0,10,garmin,0,0 days 00:14:59,0 days 00:14:59,87.75,0.8285714285714286,5.873192436040045,4.004449388209122,5.874003473017238,7.089314536400114
8,10,2019-12-02,Running,False,Longview Running,5.0,553,0:54:20,161,181,167,180,10:52,8:56,200,197,0.89,0,0,0,0,0,0,0,0,0,0,2:6:20,0:00,0,0:00,No,00:01.94,6,0,10,garmin,0,0 days 00:10:52,0 days 00:10:52,40.0,0.92,8.098159509202453,5.521472392638037,8.09839189106999,8.802599881597816
9,11,2019-12-06,Running,False,Longview Running,3.0,322,0:31:11,164,180,166,176,10:23,9:04,102,236,0.94,0,0,0,0,0,0,0,0,0,0,1:7:11,0:00,0,0:00,No,00:02.48,4,0,10,garmin,0,0 days 00:10:23,0 days 00:10:23,34.0,0.9371428571428572,8.475120385232746,5.778491171749599,8.475296097210565,9.043761079340541
10,12,2019-12-07,Running,False,Longview Running,7.03,775,1:18:59,163,178,167,174,11:14,9:27,551,951,0.86,0,0,0,0,0,0,0,0,0,0,1:18:59,0:00,0,0:00,No,00:17.99,8,0,10,garmin,0,0 days 00:11:14,0 days 00:11:14,78.37837837837837,0.9314285714285714,7.833827893175075,5.3412462908011875,7.834690960768696,8.411478025365165
11,13,2019-12-10,Running,False,Treadmill,5.0,592,0:54:17,0,0,0,0,10:51,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2:6:17,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:10:51,0 days 00:10:51,0.0,0.0,8.110599078341012,5.529953917050691,8.110599078341012,inf
12,14,2019-12-12,Running,False,Longview Running,2.0,203,0:19:25,161,182,170,186,9:42,8:16,82,210,0.98,0,0,0,0,0,0,0,0,0,0,19:25,0:00,0,0:00,No,00:00.99,3,0,10,garmin,0,0 days 00:09:42,0 days 00:09:42,41.0,0.92,9.072164948453608,6.185567010309279,9.072438459117707,9.8613461512149
13,16,2019-12-15,Running,False,Galveston Running,13.09,"1,500",2:43:51,164,187,144,248,12:31,9:41,3907,"4,081",0.89,0,0,0,0,0,0,0,0,0,0,2:43:51,0:00,0,0:00,No,01:02.91,14,0,10,garmin,1,0 days 00:12:31,0 days 00:12:31,298.4721161191749,0.9371428571428572,7.030625832223701,4.793608521970706,7.041850077318664,7.514169289821744
